,X,Y,Confidence
0,2499519.4591885726,2409140.5570908384,0.45767340064048767
1,2499505.7112222267,2409093.1028899006,0.43307405710220337
2,2499515.0303102136,2409146.631747729,0.4115348160266876
3,2499522.866566152,2409155.3120174194,0.35524195432662964
4,2499906.9213651004,2409156.863308243,0.6851357221603394
5,2499919.4045106876,2409133.7487791255,0.5819486975669861
6,2499929.2123832162,2409143.3812995213,0.3571489751338959
7,2500135.9166838382,2409165.345681818,0.7474868893623352
8,2500126.933733733,2409151.0630710446,0.6577608585357666
9,2500344.8011684148,2409128.4187486777,0.5144795179367065
10,2500358.1646080627,2409112.1050187657,0.4736436605453491
11,2500382.134506898,2409106.881978569,0.46737024188041687
12,2500338.8915961324,2409094.328513844,0.4435957074165344
13,2500327.9406274306,2409095.754010538,0.37047454714775085
14,2500380.4453941816,2409095.0920119896,0.31579551100730896
15,2500346.7913757158,2409100.5639080363,0.26008063554763794
16,2500458.739688576,2409125.491034694,0.7653408050537109
17,2500465.4570395197,2409179.5897199353,0.7413157224655151
18,2500447.093686963,2409162.778642483,0.5604397058486938
19,2500453.4257425168,2409085.5003097667,0.5118439793586731
20,2500475.208048244,2409150.6495440006,0.2874374985694885
21,2500477.401041572,2409150.8747512777,0.2841908633708954
22,2500463.982953761,2409114.2290107133,0.26672616600990295
23,2500534.3192353346,2409154.043660033,0.6919673681259155
24,2500534.5698901815,2409139.606341989,0.34320908784866333
25,2500624.1728129108,2409128.0807956504,0.7453415393829346
26,2500718.4376373854,2409124.0296355775,0.3261970281600952
27,2500819.3235664708,2409105.7838993045,0.5308700203895569
28,2500730.5144139654,2409108.0213281782,0.40844079852104187
29,2500793.458190277,2409116.867625578,0.3672706186771393
30,2500743.2463855273,2409106.2988710394,0.3563288748264313
31,2500743.0925519164,2409144.0687165717,0.2592846751213074
32,2500891.2575252107,2409103.865096353,0.5872184634208679
33,2501014.7316266443,2409101.9359128345,0.3805698752403259
34,2500942.767605157,2409096.919321255,0.3594990670681
35,2500974.4521772545,2409085.2771501807,0.3360360860824585
36,2501118.179062423,2409183.575135878,0.653918445110321
37,2501140.9866219545,2409114.747561063,0.6364999413490295
38,2499503.0982261114,2409077.418611067,0.6324218511581421
39,2499505.970600755,2409060.077544939,0.37226760387420654
40,2499508.43476783,2409078.154164202,0.28803059458732605
41,2499903.6300212047,2409012.3872684566,0.271610289812088
42,2500326.001793279,2409079.535817211,0.5913294553756714
43,2500311.2064377153,2408977.3053244893,0.33464592695236206
44,2500587.1414006855,2409067.3269080254,0.6594812870025635
45,2500715.94739939,2409057.053570089,0.40078139305114746
46,2500718.3415186303,2409073.472455728,0.37559643387794495
47,2500686.1279314393,2409068.7354660495,0.2952878475189209
48,2500726.1912799636,2409076.498064855,0.3087024688720703
49,2500738.8854491753,2409074.3063569856,0.2594729959964752
50,2500947.4922818397,2409020.536607986,0.5594795942306519
51,2501001.706211079,2409081.2252214164,0.32436779141426086
52,2501131.2689382746,2409017.6267160214,0.5672612190246582
53,2501124.0983757726,2409035.0063790297,0.4332236349582672
54,2501095.9630789487,2409001.314962745,0.3237540125846863
55,2499362.2744826316,2408925.8026829665,0.35946449637413025
56,2499461.36540688,2408917.482535629,0.3924752175807953
57,2499528.936898344,2408901.0207453687,0.2741939127445221
58,2499557.2888564034,2408896.786585004,0.27655017375946045
59,2499903.0866078786,2408947.6011247593,0.7131975889205933
60,2500304.2119039884,2408930.6045027426,0.7328419089317322
61,2499107.6133988374,2408832.0857854597,0.378625750541687
62,2499464.568628998,2408809.1869421788,0.3122518062591553
63,2499874.9534233413,2408803.5288806395,0.6466816067695618
64,2499886.5267286864,2408814.002776043,0.3766634166240692
65,2499873.6002902463,2408785.017138295,0.30411383509635925
66,2500016.776924609,2408761.483798186,0.461112380027771
67,2500021.981664777,2408814.7004767666,0.35469725728034973
68,2500024.865556876,2408817.3742608894,0.2531387507915497
69,2500281.378596516,2408778.8520438615,0.4522285461425781
70,2500289.363455409,2408772.984749621,0.32587775588035583
71,2500296.6672494547,2408821.7941248855,0.41078510880470276
72,2500294.2117245086,2408804.4481906462,0.2654319107532501
73,2500539.538309341,2408826.726567337,0.2565920650959015
74,2500698.015573536,2408858.593620738,0.6557170748710632
75,2500706.234405375,2408829.4524933007,0.4815228581428528
76,2499007.426830591,2408659.7166513177,0.38133564591407776
77,2499013.4510768116,2408666.57457594,0.2993016541004181
78,2499464.56064817,2408734.982804424,0.4274435043334961
79,2499867.422975877,2408684.820699789,0.5466185212135315
80,2500145.618205615,2408724.814648053,0.4279540479183197
81,2500269.872690573,2408694.1489022626,0.3858306109905243
82,2500686.276372904,2408721.1808810914,0.5457682609558105
83,2500684.499338657,2408704.8399110725,0.2781621813774109
84,2499115.95000522,2408611.4954737425,0.4365460276603699
85,2499447.805902412,2408622.995953627,0.3344647288322449
86,2499442.5046656034,2408622.0639957357,0.2945762276649475
87,2500664.8013177547,2408624.256911549,0.7865789532661438
88,2500993.9016006906,2408586.409932007,0.7592304348945618
89,2500998.803431127,2408578.6563265715,0.5541085600852966
