                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6093,                 3.2011,                0.95284,                0.33401,                0.36066,                0.26586,                 0.0904,                 2.4899,                 3.5824,                0.92598,              0.0018133,              0.0018133,              0.0018133
                     35,                 2.6092,                  3.373,                0.95311,                0.32972,                0.34426,                0.24378,                0.07736,                 2.5796,                 3.0611,                 0.9346,              0.0018077,              0.0018077,              0.0018077
                     36,                 2.6068,                 3.0399,                0.97537,                 0.3412,                0.22085,                0.19572,                0.06189,                 2.4459,                 2.5697,                0.91592,               0.001802,               0.001802,               0.001802
                     37,                 2.8398,                 3.5508,                0.98123,                0.32561,                0.19672,                0.14626,                0.05085,                 2.7382,                  2.929,                0.97085,              0.0017963,              0.0017963,              0.0017963
                     38,                 2.4568,                 3.2475,                0.95214,                0.18608,                 0.1762,                0.13089,                0.03364,                 2.6629,                 3.0478,                0.95522,              0.0017907,              0.0017907,              0.0017907
                     39,                 2.7144,                 3.1906,                0.98899,                0.41961,                0.29508,                0.20323,                0.06259,                 2.5704,                 2.6651,                0.92585,               0.001785,               0.001785,               0.001785
                     40,                 2.6427,                 3.0407,                0.96348,                0.22193,                0.18711,                0.09157,                0.02377,                 2.6834,                 3.0804,                0.93658,              0.0017794,              0.0017794,              0.0017794
                     41,                 2.4761,                 2.7004,                0.95795,                0.24914,                 0.2623,                0.18078,                0.06014,                 2.4295,                 4.0655,                  0.914,              0.0017737,              0.0017737,              0.0017737
                     42,                 2.5173,                 3.0919,                0.95571,                0.36469,                0.11475,                0.20395,                0.06171,                 2.4544,                 3.1479,                0.92656,              0.0017681,              0.0017681,              0.0017681
                     43,                 2.6315,                 3.1222,                0.95287,                0.24815,                0.12458,                0.09085,                0.02837,                 2.8833,                  3.432,                0.97227,              0.0017624,              0.0017624,              0.0017624
                     44,                 2.3938,                 2.9183,                0.92811,                 0.6424,                0.23577,                0.25992,                0.06902,                 2.6167,                 3.1659,                0.94953,              0.0017567,              0.0017567,              0.0017567
                     45,                 2.6099,                 3.1329,                0.97945,                0.43369,                0.27869,                 0.2567,                0.09626,                 2.8984,                 2.6632,                0.96416,              0.0017511,              0.0017511,              0.0017511
                     46,                 2.5229,                 3.0511,                0.93622,                 0.4002,                0.09836,                0.12101,                0.04132,                 3.2002,                  3.308,                0.99591,              0.0017454,              0.0017454,              0.0017454
                     47,                 2.5561,                 2.8821,                0.98184,                0.17823,                0.06557,                0.06263,                0.01791,                  3.008,                 3.3704,                0.96944,              0.0017398,              0.0017398,              0.0017398
                     48,                 2.6513,                 3.1884,                 0.9294,                0.06127,                0.40984,                0.15055,                0.04809,                 2.6891,                  3.658,                0.93871,              0.0017341,              0.0017341,              0.0017341
                     49,                 2.4857,                 2.7468,                0.91692,                0.34718,                0.29508,                0.24241,                 0.0855,                 2.6423,                 2.7793,                0.94837,              0.0017285,              0.0017285,              0.0017285
